EAN,ITEM_NUMBER,DESCRIPTION_1
99406434,14462159,GAEAZAFQ
65601455,35001489,LIBNRKIT
35132883,29474518,JRRWQTTC
96016642,59108936,NQKOOQQB
18866005,57553877,COCKOUZA
29920120,97879643,CFLOURUE
39845816,63293265,OINKMAOD
70209324,97755306,OOUAODRN
99722878,62230173,QXEJSHJM
31745184,77497266,HZLZQDTR
61516197,13185185,TPTVFODW
50842197,73243707,LDKTNQCV
68259119,16535260,MYCQZZLQ
67971349,24803801,YGBBIDNN
65502193,56581483,BCQYASQO
40311094,62407866,EAPCUJYE
49185117,1099950,CNAGOCLJ
85378390,70950728,IHCLJIKH
78451260,74216538,ANARWATT
38974313,40003547,QVCNIMAJ
80059666,41632172,QYKCYDEF
1502281,30754756,DTUYJYWA
93928522,31491158,TPBUGPFB
8781152,38478943,ADAIMDQI
88481693,60730532,EOKJFQIH
60814181,26608699,TCWZEPSO
50972012,24254150,PZGARRBZ
64092865,14619756,LOCDLIUK
62651392,66656189,SGKGULZQ
66022573,72469478,CLMSTIVD
17268257,17358705,BVRBYKET
27462857,40829937,TATHKMDU
94728018,71155866,MDYNCHMP
7077176,94766562,PRUCFKPK
9640655,86934355,MWTODBOV
47609399,1011496,TZVUDTLY
57698661,17933531,RPIIEAKQ
24430876,39238138,JDHUEDUY
73146943,70116979,ZNTRULTP
39519843,97041014,GKWQKUNV
54177512,44346983,DKTXXOKH
47700256,12020585,MHMJNEJW
19956588,47668329,UKMUZFOR
9337351,66541241,AQKOGFAH
96252427,81489264,XYLRKHXK
12673797,62152924,MPDZVQKE
27798590,81462222,DURAOJHB
25483265,29545850,UNYKPAMC
34783801,56893684,YOHITMYD
23579918,71425303,TFJJGBKW
92827969,45258596,IHHXGSBJ
24188817,61741606,BMEWHZYD
33255460,86939398,ORRYDCJH
61169642,50759744,CNBQLZGM
50011198,85100957,SIDZHMRT
66592252,55535667,LCKZRWML
82341900,1398867,LMRDHYJO
93627111,75097946,QSLKQRXK
36163029,3678722,FVKAEYNV
69408426,43520106,BARFICWC
74067203,72845734,OGHBKPUM
66065026,78406129,PMIEDBTB
34556473,43346696,FXAEXASO
57089364,30385895,PVKUOGUL
52394304,81816633,DXJTEVRM
13472636,17074358,JPZUJPBN
88740335,71520441,KBAWCRYQ
42336356,51118282,DSSUVSAH
17838655,91444953,EXOBQDCJ
66356765,67848479,MFHTITZU
45274578,55597695,MJLZEBWJ
63144330,72225552,QLWNMMUY
29938009,12387216,JJEMHKQW
96032825,9438308,PXPRRFEU
63368373,70269077,IEAJKYAE
20204495,94352977,KDJJTTQW
12147949,72188134,PMVCXFYW
91938663,72691866,TOJQQZMX
94282484,72512043,GIKIULKO
52624989,3289762,XHRHGRSC
48734754,73130245,ETCDRAPQ
22913160,12096286,HBNQOXHI
87392300,13377375,STAGGKWO
92883043,22755004,AYUUFCRH
5749319,60243847,GPBEXIDP
77873947,75121637,KCQGIEXZ
14254073,35174766,AZPEUEXD
3626278,54262529,PESNKUJL
16820624,88906489,ZMWJRUBB
26606440,7021570,JVWZWDZI
56654566,84987344,SPQJAIZU
15640412,46061702,VQXANJLW
33474854,2839188,HHMDNVTF
9580147,47060740,WZLCSFLS
74967429,45516612,UGUIPIXE
90509368,91936316,PBJKPMHP
98335897,45014943,FSSBPBFT
21820565,87591857,KMHREGPO
71299264,61301171,JLWELRUX
1692570,28473110,YLAUABWG
96136630,13208320,FRIWFMOW
20145719,92278528,CPJKRIHY
90271086,31705154,MBZTPQRO
73810703,9565967,RVQCDVGA
87911013,95305779,FVPZAQHI
62824128,58821145,HEHAKAYL
50228628,11749292,BZVPVSCU
49916576,37048470,LQNNSKYI
6231470,42968166,AFCCOKZW
81972603,36413580,MPDHDGBK
20962128,61222188,VTJMFFXC
79472640,1660327,OJLXZBPC
59639730,55880796,KQRFSVMF
29799929,79812883,HOALYOGD
33628067,24735952,WPEEYAHC
27062606,94820353,XFUCTSGU
37915293,67008941,UOBNIBFM
89057066,74868626,JEEHWZLR
27769401,96471865,BUOSPBRU
75029789,9239244,LGQJQOUN
81242758,78651932,SXLGSUAA
18446522,61241231,YFLXSSUE
22200247,12496868,WAWVNOXP
54597360,13652973,SWDJJIGZ
62280085,70020724,OOWWEXRR
92947703,25897872,PNLGYXRH
3902599,96352410,DRWCKZNH
54712274,86097835,PLGPRIUW
31143712,14945540,SLHKGSLZ
23577004,32821923,RUBRIBQF
3183346,8501407,HVLQBJLD
95961067,55432296,ISCJSGXA
28710391,61012798,ZLDGXWWT
46617660,4691537,KTXERQQQ
80211064,27248806,YLHJEEQY
31407077,92606445,WXHWDNZR
11510198,53056868,OXAMCHRB
12462153,85023610,EXHRQIPB
24779178,90471364,YASLCYGZ
97534455,85243095,DUEOSIYB
20159177,81493619,PORCNRSA
43375192,28464497,FDVLEMBZ
45818791,27078462,ZYTZVJLY
50202821,34020633,LEEWMENL
4964718,79679338,DLXMKXLJ
88454287,81296905,MIBYRFXF
53452363,98879843,WBIUUEWQ
54947278,53206316,SYQVSNZU
15164283,70584837,HRSILUIZ
28450517,58469412,WGYMGZOB
81755780,53613972,LJKPFGWX
10005657,52917702,SFXLNHQX
16303031,45537389,BAMQHLMX
87800504,83156565,ZHOITHXD
82112039,83499566,WJAHOZZC
38186323,90921077,UJKXCUFK
17800954,64106740,EQBZMQQN
24776125,4986532,LXUUWEXK
21325926,77336142,NYDPFLSW
92660376,15265404,ACCIEDCJ
73931730,91897826,BMJFWZPI
98660252,32633054,FLDMBAGF
57272005,56372262,YHYDHHTC
70589384,91714434,BXHVMPOH
59086863,90781339,APLDXWBP
92590832,99676946,QGUPFGHN
91992266,59376704,VFUFAVAY
37073239,73938838,EIMJQCAT
57377861,81499368,AUGRQFTF
13455074,82261505,DSEVMYZS
94196243,20565319,ZLRIIPWR
87002991,19792356,GHAQVLEL
74524301,16152340,JYPEQTIG
36711146,13557494,WUYOCOPJ
71981973,83248988,BBNIRJOF
4209049,8040746,DKZHCNAQ
64436342,1949450,ELRAVAOP
48863077,30262523,QHPQNGXK
63442112,48950166,RXDMFYQC
1107167,12124622,FJGKADUW
23172306,73246151,FRPIIZCT
1293220,30195480,HGPUGIOD
96532574,7171774,LOFVDTOJ
85134804,60383120,NMEESDMD
57403725,94730357,VZUITXTJ
73613400,28166821,KQHTBLBB
30090511,52346706,SWGLTOML
81959094,14358207,EBLEKNGS
18877115,65386126,DHECLARL
76299344,99073020,QARZVJDX
3423855,82294206,RFNCUNXL
68729159,96322245,TSGUNTDF
33858837,49471768,IFKKQVEA
75891838,26732188,YTEBOUYD
43884040,7368293,HGNZOPZY
50305401,2813439,PIGDXSEO
40488320,96986240,KIGWJQPC
8732627,19410101,MDMUFKFW
49491093,19280668,KPTATJFN
25705902,48887713,HRKNSZYC
96543157,21008047,ZGPXEKRJ
31166867,79455963,OZDTMIDR
93764791,82413560,HDVOQJHU
21570106,55087658,AYXTQDGG
15220590,80475545,XJXEOYZR
72427989,48152857,OOVQWVHL
85927613,50648060,TJSVFAHC
10317432,26811814,URWEETCK
98318047,99784909,CPWLFCWD
97932381,23736511,YUZYWBOU
58262027,37721011,LMETZZZR
27448976,37579478,AWJEJAOU
87717697,62889600,MCLTVTGV
4654785,91431997,WBOFGTBG
31765665,24950417,KEQNFVXQ
43947469,84317557,GBBAQWLW
71656657,2497231,IYSCAQNS
26532828,51725734,FQOOHSVN
99809360,42794139,JJHKJBJA
41973235,94255446,PNIDMRIY
31311332,33884455,HCQEOLCC
25193734,99438434,PSIFSFKJ
63726328,63522352,MBMAPHQF
