ITEM_NUMBER,NAME,DESCRIPTION
14462159,MGXCPMDO,ORFCPRSP
35001489,QLXAMCEF,PMOWFBMJ
29474518,JNTZEUYP,OGVHJOIV
59108936,QQSJZEKF,UCSHQWCD
57553877,AIIQVZBK,NPGSHAGH
97879643,KBJBBZVR,CXEPGFJF
63293265,PXUMZFRT,PRYLMZZS
97755306,BTZQYUVB,JXRHNGIK
62230173,KDHRFGNV,WYPCPGXJ
77497266,PIUHZBJC,IZTBWDNF
13185185,QZVAQRVH,LXRZMBAO
73243707,XZYXFNNB,VQMQEPFN
16535260,MRBWDKVX,SSEWMOZW
24803801,WLRMMWAS,BCHNJJQU
56581483,IFQPYQJC,HSZKPIOP
62407866,UGLGLIIE,KHQCKVGC
1099950,NGWAQDGF,KLMEPINM
70950728,YBYNVMOM,TVTNMSEG
74216538,QUANLCVA,MMRTHIYQ
40003547,QBUOSKCV,DPZYCEEH
41632172,SPASVZIV,QVIIEEMD
30754756,HRQGKBHI,KXKOJLIL
31491158,ROCUGHEU,KYLHVSOQ
38478943,AVCTHAJB,CCJGRHMB
60730532,HYYLJZTD,HBDMWFAR
26608699,QXDLDUWQ,BHDMDINM
24254150,ABKNELBD,GKVEHWCC
14619756,SGDHGTNN,ZNIIQKFI
66656189,TBNOZFNL,YOGYCKUY
72469478,NXEFQLTJ,FTRJWBTD
17358705,BYRYZZXE,RCHGUNVQ
40829937,BDCJLSOU,FWFWQZXP
71155866,DYIMYIAG,LRHGCYGL
94766562,DMXHKWKO,QCOKSWNA
86934355,RGLMDTSD,OLGJBONG
1011496,QWZOODOY,YWPGDPSI
17933531,EVUSAGND,RFYRSORI
39238138,DRQSSYIH,BRBPHLCP
70116979,GXCMEKAC,FGNMUSJI
97041014,ZNQILGCO,SKCFPIYQ
44346983,LMZXBOGX,EYXENRPY
12020585,EBMPCTKT,WQEOIPLE
47668329,WMIIGDWP,KDXIVLZA
66541241,RAWSYDCE,RCEICFZZ
81489264,KQGBFVOB,AKJIERQJ
62152924,WIPWCICF,WONIBDDE
81462222,GFJHFANK,GYMFQOLY
29545850,FXAXLEHS,ODZOFUZC
56893684,YKDMUVVH,DFOLRAQU
71425303,CNXDHCCP,OZCKMHOT
45258596,OKUGPHAC,LLWFDNSD
61741606,TLKBLVAH,MXYOKSYB
86939398,MKLNXEWM,RSKWDHWZ
50759744,HEPDKXYF,MBWCXGOE
85100957,YFKPAZVK,DAVEDLOF
55535667,FCPIPVTT,ELKAWPTJ
1398867,ABPLXHKT,INHLWJJS
75097946,KYGWWGYP,RRLOKABY
3678722,ZTMIYDNA,LPQNYSCH
43520106,AISXCSHF,QMGVHLTZ
72845734,KWFJENBT,EQNYNEMS
78406129,PTRPDHLU,XKTMSKAZ
43346696,IFHXRODC,MPXAZOVN
30385895,YMUILJSN,PNGLBBCS
81816633,QEZVEDSF,XTUQNLHL
17074358,MWWDPMOB,CHLKQGAW
71520441,KQPBCXFI,BLXVDNDT
51118282,WLYEIZJI,ZVSIZPKA
91444953,EIUIOMVL,UQMJIJEC
67848479,FGFMXTRX,AQFWJNXG
55597695,DNYSKXJE,GHLWOGRC
72225552,XGGVMBJO,QTMHWTNJ
12387216,DOIKTDSC,RDIQLBKN
9438308,PRAWZSZV,YLYOUMQX
70269077,NEUUDVOM,CXMBZSZI
94352977,JCUGFENK,MTVTDCPH
72188134,SMCYWSKT,STQEKESC
72691866,QKGTOUUG,AXCZQCPO
72512043,WZLRYQCE,PAWOFZOG
3289762,XUGBVCTX,MHXEQDWF
73130245,EJLQFKJZ,EYJSUVLY
12096286,VPQWUAPL,DQNDWHQK
13377375,XAHABKBA,LNQRMPDB
22755004,DFRLAJBI,AGQFBAOQ
60243847,XBLWRONW,ZSIUETGD
75121637,MAXDAQTO,UARDOTAA
35174766,LLOSDHMT,WGJEMCYE
54262529,VUBTWXWU,SDSYYDNU
88906489,BWSLVDSX,SSCNIBIX
7021570,BGGIXOKW,SLJSAUEI
84987344,DJHLUYIX,NCVBYDTX
46061702,DCQJDDNP,VCCCYOKC
2839188,ZSRSIJNA,XTIXFFTV
